名称,種別,エリア,郵便番号,住所,緯度,経度
桜川保育園,区立認可,京橋,104-0042,東京都中央区入船1丁目1番13号,35.6738,139.7782
明石町保育園,区立認可,京橋,104-0044,東京都中央区明石町12番1号,35.6665,139.777
築地保育園,区立認可,京橋,104-0045,東京都中央区築地4丁目15番1号,35.6664,139.7682
八丁堀保育園,区立認可,京橋,104-0032,東京都中央区八丁堀4丁目5番10号,35.674,139.7759
まなびの森保育園銀座,私立認可,京橋,104-0061,東京都中央区銀座一丁目12番6号,35.6743,139.7698
ブライト保育園東京入船,私立認可,京橋,104-0042,東京都中央区入船3丁目5号10番  藤和入船ビル2階,35.6708,139.7763
TKチルドレンズファーム湊校,私立認可,京橋,104-0043,東京都中央区湊１丁目２−９ 1階～4階・地下1階,35.673,139.7788
ぽけっとランド明石町保育園,私立認可,京橋,104-0044,東京都中央区明石町7番15号   2階、3階,35.6677,139.7787
さくらさくみらい築地,私立認可,京橋,104-0045,東京都中央区築地三丁目10番7号,35.6676,139.7727
太陽の子新川保育園,私立認可,京橋,104-0033,東京都中央区新川1丁目24番1号  秀和第2新川ビル2階,35.6768,139.7852
あい保育園新川,私立認可,京橋,104-0033,東京都中央区新川1丁目26-9　新川イワデビル１・２F,35.6762,139.7841
ミアヘルサ保育園ひびき八丁堀,私立認可,京橋,104-0033,東京都中央区新川2丁目30番3号 ＮＭビル,35.6728,139.7829
京橋こども園,こども園,京橋,104-0031,東京都中央区京橋2-17-7,35.6762,139.7734
十思保育園,区立認可,日本橋,103-0001,東京都中央区日本橋小伝馬町5番1号  十思スクエア3階,35.6909,139.777
堀留町保育園,区立認可,日本橋,103-0012,東京都中央区日本橋堀留町1丁目1番1号,35.6874,139.779
人形町保育園,区立認可,日本橋,103-0013,東京都中央区日本橋人形町2丁目14番5号,35.6846,139.7848
日本橋保育園,区立認可,日本橋,103-0014,東京都中央区日本橋蛎殻町1丁目1番2号,35.6808,139.7835
浜町保育園,区立認可,日本橋,103-0007,東京都中央区日本橋浜町3丁目37番1号,35.6855,139.7913
にじいろ保育園小伝馬町,私立認可,日本橋,103-0001,東京都中央区日本橋小伝馬町13番7号　銀泉日本橋小伝馬町ビル1～4階,35.6912,139.7796
ほっぺるランド日本橋堀留町,私立認可,日本橋,103-0012,東京都中央区日本橋堀留町2丁目8番4号  日本橋コアビル1階,35.6885,139.7814
さくらさくみらい人形町,私立認可,日本橋,103-0006,東京都中央区日本橋富沢町2番6号,35.6878,139.7836
まちのてらこや保育園,私立認可,日本橋,103-0006,東京都中央区日本橋富沢町４番１号、ミズホビル1階～2階・地下1階,35.6878,139.7828
あい保育園日本橋,私立認可,日本橋,103-0006,東京都中央区日本橋富沢町9番10号,35.6895,139.7829
かふう保育園日本橋,私立認可,日本橋,103-0006,東京都中央区日本橋富沢町10-18　ユニゾ東日本橋ビル2階,35.6895,139.782
モニカ人形町園,私立認可,日本橋,103-0013,東京都中央区日本橋人形町3丁目7番5号,35.6866,139.7814
グローバルキッズかきがら園,私立認可,日本橋,103-0014,東京都中央区日本橋蛎殻町1丁目16番11号  ＳＦビル１階、２階,35.6831,139.7826
あい保育園水天宮,私立認可,日本橋,103-0014,東京都中央区日本橋蛎殻町1丁目29番9号,35.6831,139.7839
キッズラボ水天宮前園,私立認可,日本橋,103-0014,東京都中央区日本橋蛎殻町1-35-5 セイラン水天宮前,35.6817,139.7861
学栄ナーサリー日本橋蛎殻町保育園,私立認可,日本橋,103-0014,東京都中央区日本橋蛎殻町２丁目１５番５号　水天宮ＣＰビル１～４階,35.6843,139.7869
コビープリスクールはこざき,私立認可,日本橋,103-0015,東京都中央区日本橋箱崎町17番9号  箱崎升喜ビル1階、2階,35.6806,139.7852
テンダーラビング保育園東日本橋,私立認可,日本橋,103-0004,東京都中央区東日本橋1丁目4番6号  東日本橋一丁目ビル1階、2階,35.691,139.7862
ミアヘルサ保育園ひびき東日本橋,私立認可,日本橋,103-0004,東京都中央区東日本橋1丁目5番13号  セイワ東日本橋ビル,35.6911,139.7859
