保育施設,57日,7か月,1歳児,2歳児,3歳児,4歳児,5歳児
桜川保育園,40点,41点,40点,42点,-,-,-
明石町保育園,-,40点,40点,40点,41点,-,-
築地保育園,-,38点以下,38点以下,38点以下,43点以上,43点以上,-
八丁堀保育園,40点,40点,40点,38点以下,-,40点,-
十思保育園,-,40点,43点以上,43点以上,43点以上,-,-
堀留町保育園,-,40点,43点以上,-,40点,-,-
人形町保育園,-,40点,43点以上,40点,41点,41点,-
日本橋保育園,-,40点,42点,38点以下,-,-,-
浜町保育園,40点,40点,40点,40点,41点,-,-
つくだ保育園,-,38点以下,41点,38点以下,41点,43点以上,-
月島保育園,40点,40点,41点,40点,38点以下,41点,-
かちどき西保育園,40点,40点,40点,40点,38点以下,-,-
勝どき保育園,-,40点,41点,40点,40点,38点以下,-
晴海保育園,-,38点以下,40点,38点以下,-,43点以上,-
まなびの森保育園銀座,40点,43点以上,40点,-,-,-,-
ブライト保育園東京入船,-,-,38点以下,40点,43点以上,-,-
ＴＫチルドレンズファーム湊校,-,40点,40点,41点,-,-,-
ぽけっとランド明石町保育園,-,-,38点以下,38点以下,43点以上,41点,-
さくらさくみらい築地,-,-,40点,38点以下,38点以下,43点以上,-
太陽の子新川保育園,-,-,38点以下,-,-,-,-
あい保育園新川,-,40点,40点,-,-,38点以下,-
ミアヘルサ保育園ひびき八丁堀,40点,40点,38点以下,41点,-,-,-
にじいろ保育園小伝馬町,40点,40点,40点,41点,38点以下,-,-
ほっぺるランド日本橋堀留町,-,40点,40点,43点以上,-,-,-
さくらさくみらい人形町,40点,40点,40点,41点,-,-,-
まちのてらこや保育園,-,-,40点,-,-,-,-
あい保育園日本橋,-,38点以下,43点以上,-,-,39点,-
かふう保育園日本橋,-,40点,40点,39点,40点,-,-
モニカ人形町園,-,-,40点,-,40点,-,-
グローバルキッズかきがら園,-,-,40点,38点以下,-,-,-
あい保育園水天宮,-,40点,40点,-,43点以上,41点,-
キッズラボ水天宮前園,-,-,40点,-,38点以下,-,-
学栄ナーサリー日本橋蛎殻町保育園,40点,43点以上,40点,-,-,-,-
コビープリスクールはこざき,-,40点,41点,-,38点以下,40点,-
テンダーラビング保育園東日本橋,-,-,40点,-,-,-,-
ミアヘルサ保育園ひびき東日本橋,-,-,38点以下,40点,-,38点以下,-
ほっぺるランド東日本橋,-,40点,40点,40点,-,-,-
さくらさくみらい東日本橋,40点,40点,40点,-,40点,-,-
ナーサリールームベリーベアー日本橋,-,-,40点,40点,41点,-,-
AIAI NURSERY 日本橋浜町,-,40点,40点,-,38点以下,-,-
キッズハウス浜町公園,-,40点,40点,40点,-,-,-
グローバルキッズ浜町園,-,-,40点,38点以下,43点以上,39点,-
EDO日本橋保育園,-,40点,40点,40点,43点以上,-,-
ほっぺるランド茅場町,-,-,40点,-,43点以上,38点以下,-
さくらさくみらい佃,-,-,40点,38点以下,38点以下,-,-
さくらさくみらいつくだ大通り,-,-,38点以下,41点,-,-,-
ほっぺるランド佃,-,40点,40点,40点,43点以上,40点,-
保育所まぁむ月島駅前園,40点,40点,38点以下,40点,-,-,-
みちてる保育園,-,40点,43点以上,-,40点,-,-
ほっぺるランド佃大橋,-,-,38点以下,40点,-,-,-
太陽の子月島保育園,-,40点,40点,39点,40点,-,-
アンジェリカ月島保育園,-,-,38点以下,38点以下,40点,-,-
月島雲母保育園,-,40点,40点,38点以下,-,-,-
さくらさくみらい東仲通り,-,-,38点以下,-,-,-,-
さくらさくみらい月の岬,-,-,40点,38点以下,40点,40点,-
月島聖ルカ保育園,40点,40点,40点,40点,-,-,-
勝どきちとせ保育園,-,43点以上,40点,40点,41点,40点,-
まなびの森保育園勝どき,-,40点,40点,-,-,43点以上,-
ほっぺるランド勝どき,-,40点,40点,40点,39点,-,-
ほっぺるランド清澄通り勝どき,-,-,40点,38点以下,38点以下,38点以下,-
アスク勝どき保育園,-,40点,40点,-,-,-,-
ベネッセ勝どき保育園,-,-,40点,-,-,-,-
ほっぺるランド新島橋かちどき,40点,40点,40点,40点,-,41点,-
勝どきえほん保育園,-,-,40点,39点,41点,41点,-
ニチイキッズさわやか勝どき６丁目保育園,-,43点以上,40点,38点以下,-,-,-
太陽の子晴海トリトン保育園,-,-,40点,40点,38点以下,38点以下,41点
ポピンズナーサリースクール晴海,-,38点以下,40点,41点,-,-,41点
さくらさくみらい晴海,40点,40点,40点,-,-,-,-
小学館アカデミー晴海保育園,40点,38点以下,43点以上,41点,40点,-,-
アスク晴海３丁目保育園,-,-,40点,-,-,-,-
京橋こども園,-,40点,41点,40点,41点,-,-
晴海こども園,-,40点,43点以上,41点,43点以上,41点,-
阪本こども園,-,-,41点,43点以上,43点以上,-,-
勝どきこども園,-,38点以下,-,-,-,42点,-
キャリー保育園八丁堀,40点,40点,38点以下,40点,-,-,-
Kuukids,-,38点以下,38点以下,-,-,-,-
