施設種別,地区,保育園名,所在地,緯度,経度,種別,開設年,開設月,電話番号,WebサイトURL,入園可能月齢,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日
認可保育園,芝,(仮称)にじいろ保育園新橋,東京都港区新橋6-11-13,35.6616148,139.754608,私立,2022,4,,https://www.city.minato.tokyo.jp/hoikusien/r4kaisetuhoikuen.html,,,,,,,,
認可保育園,芝浦港南,太陽の子 芝浦二丁目保育園,東京都港区芝浦2-9-1 ブランズタワー芝浦2F,35.6435368,139.7529097,私立,2022,4,,https://www.kidslife-nursery.com/facility/tokyo/minato/shibaura/,,,,,,,,
認可保育園,芝,芝保育園,東京都港区芝五丁目18番1号101,35.6484,139.747716,区立,,,03-3455-4669,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/12/index.html,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,日・祝・年末年始
認可保育園,芝,神明保育園,東京都港区浜松町一丁目6番7号　プラザ神明1階、2階、3階,35.658802,139.757421,区立,,,03-5733-6822,https://www.nihonhoiku.co.jp/blog/shinmei/,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,6:15から22:00まで,年末年始
認可保育園,芝,芝公園保育園,東京都港区芝公園二丁目7番3号,35.654291,139.750533,区立,,,03-3438-0435,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/13/index.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝,アスク芝公園保育園,東京都港区芝二丁目12番16号,35.651603,139.752593,私立,,,03-5439-9398,https://www.nihonhoiku.co.jp/blog/shibakoen/,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
認可保育園,芝,太陽の子三田保育園,東京都港区三田一丁目2番18号　TTD PLAZAビル2階,35.655004,139.740635,私立,,,03-5439-6390,https://www.kidslife-nursery.com/facility/tokyo/minato/mita1/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝,あい保育園赤羽橋,東京都港区三田一丁目3番31号　Forecast三田 2階,35.654526,139.74357,私立,,,03-6453-9325,https://aigran.co.jp/nursery_list/1-1153/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝,こころ新橋保育園,東京都港区新橋六丁目4番3号　ル・グラシエルビル7号館2階,35.663617,139.753196,私立,,,03-6432-0941,https://www.taiyo.ed.jp/kokoro-shinbashi/,57日,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始
認可保育園,芝,グローバルキッズ虎ノ門保育園,東京都港区虎ノ門三丁目19番13号　虎ノ門スピリットビル3階,35.663091,139.74683,私立,,,03-5473-7668,https://www.gkids.co.jp/facilities/nursery_061.html,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始
