"施設種別","地区","保育園名","0歳","1歳","2歳","3歳","4歳","5歳"
"認可保育園","芝","芝保育園","34","40","40","―","―","―"
"認可保育園","芝","神明保育園","34","40","40","―","―","―"
"認可保育園","芝","芝公園保育園","40","41","40","38","―","22以下"
"認可保育園","芝","アスク芝公園保育園","38","40","―","―","―","―"
"認可保育園","芝","太陽の子三田保育園","22以下","31","非公開","―","―","―"
"認可保育園","芝","あい保育園赤羽橋","37","23","非公開","―","―","―"
"認可保育園","芝","こころ新橋保育園","22以下","40","―","―","非公開","―"
"認可保育園","芝","グローバルキッズ虎ノ門保育園","40","40","非公開","―","―","―"
"認可保育園","芝","小鳩ナーサリースクール浜離宮","37","非公開","―","―","―",
"認可保育園","芝","ニチイキッズ芝公園保育園","25","40","―","―","―",
"認可保育園","芝","にじいろ保育園竹芝","―","40","非公開","―","―",
"認可保育園","麻布","南麻布保育園","22以下","40","―","―","―","―"
"認可保育園","麻布","本村保育園","40","40","非公開","―","―","―"
"認可保育園","麻布","西麻布保育園","38","40","40","―","―","―"
"認可保育園","麻布","麻布保育園","22以下","40","31","26","非公開","非公開"
"認可保育園","麻布","飯倉保育園","38","40","31","28","―","非公開"
"認可保育園","麻布","東麻布保育園","40","34","37","―","―","―"
"認可保育園","麻布","元麻布保育園","24","40","―","―","非公開","非公開"
"認可保育園","麻布","まなびの森保育園麻布","40","40","40","―","―","―"
"認可保育園","麻布","あい保育園南麻布","40","22以下","非公開","非公開","非公開","―"
"認可保育園","麻布","太陽の子南麻布保育園","28","22以下","非公開","―","―","―"
"認可保育園","麻布","あい保育園元麻布","40","39","非公開","―","非公開","―"
"認可保育園","麻布","まちの保育園六本木","38","40","非公開",,,
"認可保育園","麻布","まちの保育園六本木分園",,,,"非公開","―","―"
"認可保育園","麻布","コスモス西麻布保育園","非公開","―","―","非公開","―","―"
"認可保育園","麻布","あい・あい保育園麻布十番園","非公開","非公開","―","非公開","―","―"
"認可保育園","麻布","ふたばクラブ東麻布保育園","非公開","40","―","―","―","―"
"認可保育園","麻布","まなびの森保育園麻布十番","40","40","27","―",,
"認可保育園","麻布","麻布十番ちとせ保育園","40","40","38","非公開",,
"認可保育園","麻布","sakura保育園六本木","38","―","非公開",,,
"認可保育園","麻布","リトルパルズ保育園六本木","40","22以下","40",,,
"認可保育園","赤坂","赤坂保育園","40","41","40","38","―","―"
"認可保育園","赤坂","南青山保育園","34","40","40","非公開","―","非公開"
"認可保育園","赤坂","青山保育園","40","34","―","22以下","―","―"
"認可保育園","赤坂","赤坂ちとせ保育園","38","非公開","―","―","―","非公開"
"認可保育園","赤坂","太陽の子赤坂保育園","40","24","―","非公開","非公開","―"
"認可保育園","赤坂","あい保育園青山一丁目","22以下","22以下","非公開","―","―","―"
"認可保育園","赤坂","太陽の子南青山保育園","40","34","―","非公開","―","―"
"認可保育園","赤坂","小学館アカデミー南青山保育園","40","―","―","―","―","―"
"認可保育園","赤坂","赤坂山王保育園","22以下","28","非公開","―",,
"認可保育園","赤坂","赤坂クレア保育園","34","非公開","22以下","―",,
"認可保育園","赤坂","おはよう保育園ののあおやま","非公開","―","―","―","―","―"
"認可保育園","高輪","伊皿子坂保育園","40","40","40","22以下","―","―"
"認可保育園","高輪","高輪保育園","37","40","34","―","―","―"
"認可保育園","高輪","白金保育園","40","40","40","―","―","―"
"認可保育園","高輪","太陽の子三田五丁目保育園","40","―","38","28","―","―"
"認可保育園","高輪","みなと保育園","37","38","34","―","―","非公開"
"認可保育園","高輪","愛星保育園","40","40","34","―","―","―"
"認可保育園","高輪","ゆらりん高輪保育園","22以下","40","40","―","―","―"
"認可保育園","高輪","高輪夢保育園","―","非公開","―","―","―","―"
"認可保育園","高輪","ゆらりん白金保育園","40","40","35","―","―","―"
"認可保育園","高輪","みつばち保育園","34","40","非公開",,,
