大分類,小分類,名称,所在地,開設年,開設月,電話番号,WebサイトURL,情報,X座標,Y座標
私立保育園,私立保育園,AIAI NURSERY　浅草,台東区駒形１丁目７番１１号東部浅草駒形１・２階,,,03-6231-7690,https://nursery.aiai-cc.co.jp/facility/asakusa/,,139.7951276,35.70775882
私立保育園,私立保育園,AIAI NURSERY　入谷,台東区竜泉１丁目１９番７号K・Kビル１・２階,,,03-3871-7192,https://nursery.aiai-cc.co.jp/facility/iriya/,,139.78958,35.72362314
,,ＫＡＹＯこども室,鳥越1丁目20-7,,,,https://kdmst.jp/,,139.7821522,35.7030142
私立保育園,私立保育園,LIFE SCHOOL 根岸 こどものいえ,台東区根岸4丁目15番13号,,,03-6458-1451,https://lifeschool.jp/publics/index/53/,,139.7846123,35.72646527
私立保育園,私立保育園,あさくさあおぞらナーサリースクール,台東区清川1丁目5番10号,,,03-3873-4191,https://asakusaaozora.codmon.net/,,139.8021283,35.72323101
私立保育園,私立保育園,アスクくらまえ保育園,蔵前4丁目16番10号,,,03-5822-5205,https://www.nihonhoiku.co.jp/blog/kuramae/,,139.7883809,35.70371136
私立保育園,私立保育園,アスクりゅうほく保育園,浅草橋1丁目26番8号,,,03-3863-8505,https://www.nihonhoiku.co.jp/blog/ryuhoku/,,139.7837614,35.6983945
保育施設,保育施設,ウィズブック保育園　入谷,台東区松が谷４丁目１番３号高松ハイム１階,,,03-6231-6719,https://wb-hoikuen.jp/tokyo/iriya,小規模保育所,139.7885749,35.71698022
私立保育園,私立保育園,うれしい保育園上野駅前,台東区上野７丁目８番１３号,2022,4,03-5830-1321,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/hoiku_youjikyouiku/hoikutakuji/hoikuen/hoikuennyuen/sinnkikaisetu.html,,139.7792016,35.71477395
保育施設,保育施設,うれしい保育園谷中,台東区谷中７丁目１３番２号,,,03-5815-3451,https://www.care21.co.jp/ureshii_hoiku/uh-yanaka/,,139.7723919,35.7261639
私立保育園,私立保育園,えがおの森保育園・あさくさ,台東区寿3丁目15番12号,,,03-5811-1200,https://www.senshukai-childcare.jp/hoikuen/facilities/asakusa.html,,139.7936064,35.70754073
保育施設,保育施設,おうち保育園新おかちまち,台東区三筋２丁目１７番１０号バムタイガー２階,,,03-5823-4928,https://mirai.florence.or.jp/ouchi/shin-okachimachi/,共同型家庭的保育施設,139.7866231,35.70587553
保育施設,保育施設,かるがもハウス浅草橋,台東区浅草橋4丁目14番4号リブラン今井1階,,,03-5823-4222,https://hidamarinoie.site/facility/asakusabashi/,,139.7809635,35.69841063
私立保育園,私立保育園,クオリスキッズ浅草橋保育園,台東区柳橋2丁目5番3号,,,03-6240-9201,https://quolis-kids.com/101_asakusabashi/,,139.7879772,35.69847587
保育施設,保育施設,ことぶきクローバーズ保育園,寿2丁目3番6号松本ビル1階,,,03-5830-3300,https://kotobuki-clovers.wixsite.com/preschool,,139.789757,35.70885826
,,ことぶきこども園,寿1丁目10-9,,,,https://www.ans.co.jp/n/kotobuki/shoukai.html,,139.7889808,35.7068859
私立保育園,私立保育園,こどもヶ丘保育園 根岸園,台東区根岸3丁目1番10号アルス鶯谷1階,,,03-5808-9152,https://childvision.jp/school/negishi/,,139.78161,35.7217385
私立保育園,私立保育園,さくらさくみらい　下谷,台東区下谷３丁目９番２号,,,03-5808-9739,https://www.sakura-39.jp/hoiku/shitaya/,,139.7864978,35.72446622
私立保育園,私立保育園,さくらさくみらい　蔵前,台東区蔵前１丁目７番１０号,,,03-5829-8739,https://www.sakura-39.jp/hoiku/kuramae/,,139.7896369,35.70124682
私立保育園,私立保育園,さくらさくみらい　谷中,台東区谷中２丁目１番１２号,2022,4,03-5834-7939,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/hoiku_youjikyouiku/hoikutakuji/hoikuen/hoikuennyuen/sinnkikaisetu.html,,139.7655097,35.72098931
私立保育園,私立保育園,さくらさくみらい　入谷,台東区入谷2丁目12番2号,,,03-6458-1939,https://www.sakura-39.jp/hoiku/iriya/,,139.7890823,35.71966519
保育施設,保育施設,シンシア保育園,台東区台東４丁目１７番２号偕楽ビル１階,,,03-5817-8169,https://unimat-mk.co.jp/rooms/area3/,小規模保育所,139.7795992,35.70646746
私立保育園,私立保育園,スターキッズ保育園,上野桜木2丁目1番8号　フラッツ上野桜木1階,,,03-5842-1746,http://www.starkids-hoiku.com/,,139.7747577,35.72310513
私立保育園,私立保育園,ソラスト竜泉保育園,台東区竜泉3丁目13番4号,,,03-5808-2050,https://solasto-hoiku.com/area/tokyo/ryusen.html,病後児保育室は竜泉3丁目13番3号,139.7912308,35.72434452
,,たいとうこども園,下谷3丁目1-12,,,,https://tokyojidokyokai.com/contents/Facility/taito/,,139.7857674,35.7237035
私立保育園,私立保育園,チェリッシュおひさま保育園,台東区浅草橋3丁目19番4号,,,03-5829-5263,https://child-stage.co.jp/cherish-authorization-ohisama,,139.7871861,35.70074014
私立保育園,私立保育園,チェリッシュ上野の森保育園,上野桜木2丁目1番3号,,,03-5809-0667,https://child-stage.co.jp/cherish/authorization/ueno,,139.7751166,35.72343206
私立保育園,私立保育園,チェリッシュ浅草保育園,浅草3丁目11番7号　ウィスタリア1階・2階,,,03-5808-7817,https://child-stage.co.jp/cherish/authorization/asakusa,,139.7935376,35.71727253
,,つぼみ保育室,台東1丁目5-25 藤井ビル 1F,,,,http://tsubomi-hoiku-taito.com/,,139.7786968,35.7008155
幼稚園・保育園,私立保育園,はぐはぐキッズこども園東上野,東上野2丁目13番12号M&Mビル3階,,,03-6884-8803,https://hoikuen.hughugkids.jp/school/ueno/,,139.7781591,35.70936061
保育施設,保育施設,はぐはぐキッズ浅草橋,浅草橋2丁目7番1号山口ビル1階,,,03-5829-8024,https://hoikuen.hughugkids.jp/school/asakusabashi/,共同型家庭的保育施設,139.7840247,35.6989857
